equation,solution
6*x**3 + 48 + 961/x,3*x**4/2 + 48*x + 961*log(x)
708*x**4 + 704,708*x**5/5 + 704*x
147 - 999/x - 172/x**2,147*x - 999*log(x) + 172/x
219*x + 194 + 60/x**5,219*x**2/2 + 194*x - 15/x**4
-215*x**4 + 519*x**3 + 251,-43*x**5 + 519*x**4/4 + 251*x
303 - 777/x,303*x - 777*log(x)
-955*x**5 + 160 + 613/x**4,-955*x**6/6 + 160*x - 613/(3*x**3)
-125*x**3 - 482 + 468/x**2,-125*x**4/4 - 482*x - 468/x
-375*x**2 - 40 + 38/x**4,-125*x**3 - 40*x - 38/(3*x**3)
-735*x - 998 + 522/x**4,-735*x**2/2 - 998*x - 174/x**3
502*x**2 + 990 + 310/x**5,502*x**3/3 + 990*x - 155/(2*x**4)
368 - 240/x**2 - 720/x**4,368*x + (240*x**2 + 240)/x**3
409*x**2 - 774,409*x**3/3 - 774*x
-571*x**2 - 866,-571*x**3/3 - 866*x
-20*x - 201 - 470/x**5,-10*x**2 - 201*x + 235/(2*x**4)
12*x - 211 + 234/x**3,6*x**2 - 211*x - 117/x**2
177*x**2 - 960*x + 907,59*x**3 - 480*x**2 + 907*x
-273*x**3 + 1000 + 836/x**2,-273*x**4/4 + 1000*x - 836/x
-486*x**4 - 756*x + 896,-486*x**5/5 - 378*x**2 + 896*x
294*x**5 - 50 - 221/x**4,49*x**6 - 50*x + 221/(3*x**3)
-567*x**3 - 2,-567*x**4/4 - 2*x
-527*x**2 - 227 - 204/x**3,-527*x**3/3 - 227*x + 102/x**2
186 + 800/x**3,186*x - 400/x**2
817*x**4 - 1552,817*x**5/5 - 1552*x
226*x**2 - 312 + 98/x**4,226*x**3/3 - 312*x - 98/(3*x**3)
-466*x**3 - 738 - 271/x,-233*x**4/2 - 738*x - 271*log(x)
-646 - 883/x - 259/x**4,-646*x - 883*log(x) + 259/(3*x**3)
-133 - 755/x**2 + 373/x**4,-133*x - (373 - 2265*x**2)/(3*x**3)
-105*x**4 + 916*x - 547,-21*x**5 + 458*x**2 - 547*x
-668*x + 529 - 119/x**5,-334*x**2 + 529*x + 119/(4*x**4)
835*x**5 + 1116,835*x**6/6 + 1116*x
-350 + 995/x**2,-350*x - 995/x
916*x**4 + 490 - 645/x**4,916*x**5/5 + 490*x + 215/x**3
491 + 398/x**2 - 963/x**4,491*x + (321 - 398*x**2)/x**3
-625*x**4 + 761 + 967/x,-125*x**5 + 761*x + 967*log(x)
92*x**3 + 51 - 221/x**5,23*x**4 + 51*x + 221/(4*x**4)
765*x - 163 + 307/x**4,765*x**2/2 - 163*x - 307/(3*x**3)
-220*x**2 - 412 - 526/x**2,-220*x**3/3 - 412*x + 526/x
-617*x**4 + 215 - 140/x**2,-617*x**5/5 + 215*x + 140/x
-577*x**2 + 40 + 825/x**3,-577*x**3/3 + 40*x - 825/(2*x**2)
309*x**3 + 534 + 934/x**2,309*x**4/4 + 534*x - 934/x
435 + 264/x + 773/x**2,435*x + 264*log(x) - 773/x
-106*x - 787 + 556/x**5,-53*x**2 - 787*x - 139/x**4
756 + 602/x**4 + 683/x**5,756*x + (-2408*x - 2049)/(12*x**4)
461*x**3 - 953*x + 267,461*x**4/4 - 953*x**2/2 + 267*x
498*x**5 + 194*x - 232,83*x**6 + 97*x**2 - 232*x
-161*x**2 + 80*x - 283,-161*x**3/3 + 40*x**2 - 283*x
-280*x**3 - 259*x - 61,-70*x**4 - 259*x**2/2 - 61*x
-945*x**5 - 668 + 670/x**5,-315*x**6/2 - 668*x - 335/(2*x**4)
-365*x**5 - 694 - 111/x**5,-365*x**6/6 - 694*x + 111/(4*x**4)
293 + 198/x**4,293*x - 66/x**3
-704 - 688/x**3,-704*x + 344/x**2
-804*x**3 - 707 + 439/x**2,-201*x**4 - 707*x - 439/x
-654*x**4 + 727 - 747/x**2,-654*x**5/5 + 727*x + 747/x
499 + 243/x**3 + 961/x**5,499*x + (-486*x**2 - 961)/(4*x**4)
389*x**5 - 537 - 222/x**4,389*x**6/6 - 537*x + 74/x**3
427 + 661/x**2 - 651/x**5,427*x + (651 - 2644*x**3)/(4*x**4)
961*x**4 + 397 + 494/x**2,961*x**5/5 + 397*x - 494/x
391 + 699/x - 473/x**5,391*x + 699*log(x) + 473/(4*x**4)
834 - 232/x**3 + 261/x**5,834*x + (464*x**2 - 261)/(4*x**4)
645 - 196/x**5,645*x + 49/x**4
466*x - 813 - 127/x**3,233*x**2 - 813*x + 127/(2*x**2)
-48*x**5 + 395*x + 285,-8*x**6 + 395*x**2/2 + 285*x
-288*x**5 - 113*x**3 + 147,-48*x**6 - 113*x**4/4 + 147*x
151 + 526/x**2,151*x - 526/x
470 - 754/x - 862/x**3,470*x - 754*log(x) + 431/x**2
1789*x**2 + 551,1789*x**3/3 + 551*x
1268*x**4 - 95,1268*x**5/5 - 95*x
672 - 55/x**3,672*x + 55/(2*x**2)
-272 - 621/x + 170/x**4,-272*x - 621*log(x) - 170/(3*x**3)
-123 + 693/x,-123*x + 693*log(x)
-887*x + 130 - 157/x**5,-887*x**2/2 + 130*x + 157/(4*x**4)
-94*x**4 - 853*x**3 - 407,-94*x**5/5 - 853*x**4/4 - 407*x
650*x**3 + 2,325*x**4/2 + 2*x
735*x**3 - 353 + 900/x**2,735*x**4/4 - 353*x - 900/x
500 + 308/x**2,500*x - 308/x
-82*x**5 + 135 - 901/x**5,-41*x**6/3 + 135*x + 901/(4*x**4)
65 + 710/x + 269/x**2,65*x + 710*log(x) - 269/x
-105 + 379/x - 361/x**3,-105*x + 379*log(x) + 361/(2*x**2)
-1262 + 646/x,-1262*x + 646*log(x)
909 + 352/x**3,909*x - 176/x**2
-536 - 730/x - 934/x**5,-536*x - 730*log(x) + 467/(2*x**4)
876*x**3 + 612*x - 884,219*x**4 + 306*x**2 - 884*x
761*x**3 - 410 - 390/x**4,761*x**4/4 - 410*x + 130/x**3
862*x - 909 - 394/x**3,431*x**2 - 909*x + 197/x**2
-953 - 1281/x,-953*x - 1281*log(x)
1576*x**3 + 938,394*x**4 + 938*x
-99*x**2 + 17 - 885/x**5,-33*x**3 + 17*x + 885/(4*x**4)
-946*x**5 - 594*x**2 - 232,-473*x**6/3 - 198*x**3 - 232*x
-678*x**4 + 949 + 976/x**3,-678*x**5/5 + 949*x - 488/x**2
-626*x**3 - 900*x**2 - 563,-313*x**4/2 - 300*x**3 - 563*x
-1652,-1652*x
-141*x - 1373,-141*x**2/2 - 1373*x
418 + 43/x - 136/x**3,418*x + 43*log(x) + 68/x**2
-203*x**5 - 240,-203*x**6/6 - 240*x
-542*x**2 - 423,-542*x**3/3 - 423*x
85*x**4 + 637*x**2 + 834,17*x**5 + 637*x**3/3 + 834*x
307*x + 50 + 531/x**2,307*x**2/2 + 50*x - 531/x
-676*x**4 + 756*x**2 - 254,-676*x**5/5 + 252*x**3 - 254*x
-609*x**4 - 686 - 465/x**3,-609*x**5/5 - 686*x + 465/(2*x**2)
-551 - 805/x - 413/x**5,-551*x - 805*log(x) + 413/(4*x**4)
690*x**3 + 503 + 387/x**3,345*x**4/2 + 503*x - 387/(2*x**2)
-206*x**3 - 476 - 515/x,-103*x**4/2 - 476*x - 515*log(x)
572*x**4 - 823 - 360/x,572*x**5/5 - 823*x - 360*log(x)
195*x**4 + 722,39*x**5 + 722*x
605*x**2 + 1017,605*x**3/3 + 1017*x
-587*x + 735 - 838/x**3,-587*x**2/2 + 735*x + 419/x**2
992*x**5 + 499 + 675/x,496*x**6/3 + 499*x + 675*log(x)
266 + 530/x + 293/x**5,266*x + 530*log(x) - 293/(4*x**4)
934*x + 148,467*x**2 + 148*x
-521*x**2 + 506 - 66/x**5,-521*x**3/3 + 506*x + 33/(2*x**4)
148 + 567/x**2 - 135/x**5,148*x + (135 - 2268*x**3)/(4*x**4)
-253*x - 687 + 189/x**3,-253*x**2/2 - 687*x - 189/(2*x**2)
484*x**5 - 78,242*x**6/3 - 78*x
-37*x**4 - 736,-37*x**5/5 - 736*x
881 + 22/x**2 - 312/x**5,881*x + (78 - 22*x**3)/x**4
850 - 816*x,-408*x**2 + 850*x
192*x**5 - 300*x**2 + 800,32*x**6 - 100*x**3 + 800*x
